complex_id,rank,class,detections,total_frp_mw,mean_frp_mw,max_frp_mw,mean_confidence,sensors,region,centroid_lat,centroid_lon,bbox_w,bbox_s,bbox_e,bbox_n,active_days,night_fraction
55,1,megafire,50270,721698.2,14.4,486.4,61.5,MODIS-Aqua+MODIS-Terra+VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,borneo,-2.5792,113.0609,108.0014,-4.94995,119.99861,2.98817,5,0.311
29,2,megafire,44503,450964.4,10.1,193.8,58.0,MODIS-Aqua+MODIS-Terra+VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,congo,-4.6216,22.2017,10.53229,-6.99996,31.99967,5.78353,5,0.061
0,3,megafire,37235,431910.5,11.6,175.7,59.5,MODIS-Aqua+MODIS-Terra+VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,amazon,-5.8076,-57.839,-73.97926,-9.99992,-50.00004,-0.80085,5,0.306
2,4,megafire,4364,32549.3,7.5,38.9,58.0,MODIS-Aqua+MODIS-Terra+VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,amazon,2.9096,-57.569,-73.68163,-0.45299,-50.0386,4.99898,5,0.126
15,5,smoldering,15,3302.2,220.1,254.7,76.1,MODIS-Aqua+MODIS-Terra+VIIRS-NOAA21+VIIRS-SNPP,amazon,-2.8822,-55.1254,-57.82037,-2.91771,-50.46354,-2.8229,3,0.2
1,6,smoldering,16,3284.5,205.3,219.4,49.4,MODIS-Terra+VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,amazon,-6.5374,-59.5545,-60.01895,-6.80612,-58.84929,-6.30004,3,0.0
41,7,smoldering,13,2716.2,208.9,218.9,48.5,VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,congo,-4.1207,16.7581,13.18597,-4.3794,17.5218,-3.82931,4,0.0
6,8,smoldering,10,2495.7,249.6,256.8,52.0,MODIS-Aqua+VIIRS-NOAA20+VIIRS-NOAA21,amazon,-6.7686,-59.4077,-62.96793,-7.05095,-58.85046,-6.68618,3,0.0
36,9,smoldering,8,2205.5,275.7,293.9,64.8,MODIS-Aqua+VIIRS-NOAA20+VIIRS-SNPP,congo,-5.4898,15.6234,15.10747,-5.76573,16.09474,-5.12115,2,0.0
19,10,smoldering,12,2146.7,178.9,194.0,66.8,MODIS-Aqua+VIIRS-NOAA21+VIIRS-SNPP,amazon,-3.744,-55.951,-60.62869,-4.05111,-54.0487,-3.39818,4,0.0
39,11,smoldering,12,2096.3,174.7,204.6,67.5,VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,congo,-5.362,28.6055,26.37283,-5.69804,29.22172,-5.24907,4,0.0
37,12,smoldering,15,1927.1,128.5,142.1,62.1,MODIS-Aqua+VIIRS-NOAA20+VIIRS-NOAA21,congo,-4.3457,17.0006,14.79975,-4.76992,17.69621,-4.14693,3,0.0
21,13,smoldering,12,1808.9,150.7,172.4,72.8,MODIS-Aqua+VIIRS-NOAA20+VIIRS-NOAA21+VIIRS-SNPP,amazon,-1.6748,-56.0187,-61.40359,-1.89262,-50.61073,-1.56911,4,0.0
