region,year,frp_mw_sampled,frp_scaled_mw,est_detections,fre_proxy_tj,dry_matter_kt,co2e_mt
amazon,2000,170159,2616135.9014084507,4802,4709.0,1050.1,1.69
amazon,2001,2379592,36533386.085215814,70238,65760.1,14664.5,23.65
amazon,2002,2330169,35690449.93582613,77784,64242.8,14326.1,23.11
amazon,2003,2549135,38840817.43713605,85419,69913.5,15590.7,25.15
amazon,2004,5631103,85968631.29106076,157031,154743.5,34507.8,55.66
amazon,2005,5201096,79710301.8111538,136897,143478.5,31995.7,51.61
amazon,2006,3493435,53230932.48877448,89396,95815.7,21366.9,34.46
amazon,2007,4439823,67383810.07070707,124545,121290.9,27047.9,43.63
amazon,2008,1840672,28108314.084356777,55466,50595.0,11282.7,18.2
amazon,2009,1313440,19983237.858585857,43129,35969.8,8021.3,12.94
amazon,2010,4747724,72602968.40720119,118578,130685.3,29142.8,47.01
amazon,2011,1298713,19752912.19429051,40382,35555.2,7928.8,12.79
amazon,2012,11254193,172111386.71495742,837370,309800.5,69085.5,111.43
amazon,2013,5695868,86597217.89656812,434128,155875.0,34760.1,56.07
amazon,2014,8423637,129033733.9217922,657153,232260.7,51794.1,83.54
amazon,2015,12919882,197025825.1693941,1034480,354646.5,79086.2,127.57
amazon,2016,10961065,167174468.29976285,765645,300914.0,67103.8,108.24
amazon,2017,11807153,180585529.0050153,907905,325054.0,72487.0,116.92
amazon,2018,7372957,111671497.01187985,518760,201008.7,44824.9,72.3
amazon,2019,10958556,166794666.2524271,685801,300230.4,66951.4,107.99
amazon,2020,24167988,369221422.68829894,1860724,664598.6,148205.5,239.06
amazon,2021,21853219,334909254.007974,1488898,602836.7,134432.6,216.84
amazon,2022,26414835,402787331.76369095,1841693,725017.2,161678.8,260.79
amazon,2023,17932618,274279510.3870749,1521616,493703.1,110095.8,177.58
amazon,2024,32561827,496726112.68985283,2610916,894107.0,199385.9,321.61
amazon,2025,7629573,116278541.65156864,654744,209301.4,46674.2,75.29
amazon,2026,1115451,17135106.038127024,71934,30843.2,6878.0,11.09
australia,2000,1565446,23762550.114202052,32232,42772.6,9538.3,15.39
australia,2001,16979647,259170306.95092452,258953,466506.6,104031.0,167.8
australia,2002,13132573,200710534.64010417,203997,361279.0,80565.2,129.95
australia,2003,5354632,81858217.95149998,97800,147344.8,32857.9,53.0
australia,2004,7979833,122266464.0508864,132487,220079.6,49077.8,79.16
australia,2005,3051307,46302024.3426501,72148,83343.6,18585.6,29.98
australia,2006,7233412,110311174.48452066,131029,198560.1,44278.9,71.42
australia,2007,6813430,103487662.22048648,123797,186277.8,41539.9,67.0
australia,2008,4969854,76300493.8721698,96341,137340.9,30627.0,49.4
australia,2009,6246610,95564017.99720296,125100,172015.2,38359.4,61.87
australia,2010,2414069,36663438.25976179,59172,65994.2,14716.7,23.74
australia,2011,13897240,211345869.89288592,184403,380422.6,84834.2,136.84
australia,2012,61869081,948399166.2076244,2974245,1707118.5,380687.4,614.05
australia,2013,19803573,303186986.66790825,1224269,545736.6,121699.3,196.3
australia,2014,22988341,350542123.83986926,1479205,630975.8,140707.6,226.96
australia,2015,18059000,274612859.0776919,1281087,494303.1,110229.6,177.8
australia,2016,11703993,178962753.33503693,910663,322133.0,71835.7,115.87
australia,2017,23866388,363363881.3676619,1366240,654055.0,145854.3,235.26
australia,2018,25654031,391937686.973265,1557703,705487.8,157323.8,253.76
australia,2019,38079086,573924941.322667,1999234,1033064.9,230373.5,371.59
australia,2020,25927509,395486611.2795866,1477659,711875.9,158748.3,256.06
australia,2021,22530848,344790713.911407,1901152,620623.3,138399.0,223.24
australia,2022,22029531,336190331.40929794,2026080,605142.6,134946.8,217.67
australia,2023,74468959,1139804838.947728,4644625,2051648.7,457517.7,737.98
australia,2024,30898334,471361112.1923037,2526290,848450.0,189204.4,305.19
australia,2025,37800609,580764025.4006767,2944170,1045375.2,233118.7,376.02
australia,2026,8709464,133695331.35354415,575200,240651.6,53665.3,86.56
